,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
CKS2,3.691635,2.8990097,4.7789454,1.4041667,1.1380063,2.9689863,3.071054,1.1741433,2.086807,2.858751,2.8234084,1.8514909,1.4295278,1.7626005,4.355763,3.8689952,1.9532316,1.6996508,1.3180258,3.4850233,4.435979,2.11466,1.0791074,5.321343,11.199147,2.3440526,2.7842143,0.9124013,3.8640454,3.0305727,3.858256,2.064474,2.1765993,1.8327577,5.063792
MGP,-0.08920167,0.05079862,-0.07672348,-0.060703427,-0.074771725,-0.06960935,-0.09227362,-0.020487895,-0.062852845,-0.09838984,0.32407022,-0.07456999,0.024434436,-0.06604736,-0.075449236,-0.0929634,0.4065241,-0.0613329,-0.044396244,-0.06704135,-0.101570755,-0.06531994,-0.046033554,-0.11527188,-0.088854276,-0.056676976,-0.08053078,-0.047053076,-0.10029939,-0.08182699,-0.081911445,9.8621,5.2739687,0.03721965,0.7739268
RP11-1143G9.4,-0.07403397,-0.073816426,-0.049408,-0.060971558,-0.062288817,-0.06925374,-0.092503175,-0.04263294,-0.06204106,-0.09373107,-0.09683185,6.592929,-0.067275435,0.14017975,-0.07591582,-0.08870854,-0.07670515,-0.05723913,-0.043112975,-0.06542588,-0.095134355,9.011166,-0.045357388,-0.11418007,-0.08650132,-0.08808281,-0.0821814,-0.049612943,-0.10130798,-0.06561575,-0.07755725,-0.059154607,-0.076834865,-0.070890576,-0.074472055
RPL11,4.3252535,3.2915118,7.658931,2.172652,2.8484678,5.120372,7.4431844,0.89852214,3.4726686,3.925318,4.9161406,4.073869,2.4839509,4.6061387,1.9760225,4.2472024,3.5351188,2.3082151,1.9954423,2.6550639,3.7851987,3.797846,1.8139615,8.647674,7.387133,4.26042,4.4883175,1.7081413,3.278943,3.9175313,3.5494187,1.6777693,4.9864573,3.993295,7.112027
RPLP0P6,3.0040083,2.9188807,6.6430902,1.795693,4.048595,4.0194974,0.542632,1.5302061,5.0849805,3.6343563,3.8206718,3.6326003,3.3291023,7.221132,3.220812,4.531666,1.9655901,3.8400981,1.564001,3.5490177,7.24319,2.887927,0.97060853,0.54029745,7.5936356,3.0762312,3.5765767,1.7025125,2.903809,3.6832829,2.574551,2.7489824,3.0127194,5.3296866,6.9309354
MEST,-0.092559464,10.682081,-0.0670255,0.089667514,0.07414849,-0.06959124,0.13422449,0.08397195,-0.058996733,0.10344584,-0.10209023,0.30920184,0.09689154,0.13928588,-0.068783306,0.11364679,0.06811139,0.09836287,0.06741416,0.037531257,3.0500736,0.5164828,0.14766912,0.06406561,-0.01761156,-0.042489853,-0.0810938,-0.0018252275,-0.07015496,0.3695636,0.38738614,-0.059855554,-0.082479216,0.14768715,0.06141937
RPL13,3.7633836,3.4975462,5.8969436,1.5625645,1.1658986,6.0776186,3.9780588,1.4167696,4.911611,3.6393511,4.6094036,5.4202433,8.202573,4.489395,6.1233068,3.848818,3.3262687,2.983005,1.0110617,4.966711,3.458712,5.867311,1.0317159,5.729443,7.932508,3.665288,3.2581503,1.3536632,2.9132204,5.3376193,4.81837,4.195364,3.8158202,1.9711077,5.5679317
HNRNPA1P48,2.7595785,6.188311,6.4339857,1.6093075,1.5623603,6.1517124,0.07313239,1.0605453,2.91696,3.3141026,3.1938121,3.0023313,2.4672039,5.0762014,1.5687146,4.3486223,1.2916939,1.631237,1.0022923,3.3694339,6.6968694,1.5007842,1.0373588,0.27218115,2.266345,1.7380054,2.7258844,0.74271166,3.9079492,5.912813,2.1278396,1.4107405,2.1076024,2.7203813,1.5654482
PRNP,2.2685454,0.07178335,2.4683726,0.090348125,1.0072757,0.09936688,0.95660007,0.014382786,0.69187826,0.6717242,3.9990807,0.44158268,0.048039526,0.069616295,0.21798629,0.91070855,0.6772077,0.37811047,0.24543963,0.6813975,0.48742092,0.22287701,0.12328846,0.6541515,0.26586506,9.564349,2.326648,0.35740435,0.35838136,0.87092286,-0.004858467,0.064129144,4.261763,0.47441694,0.057281427
PI3,-0.09293918,-0.0777486,-0.11722891,-0.060953155,0.33269593,-0.06954501,-0.05130998,-0.043767396,-0.06183942,-0.09903545,-0.10045099,0.043554697,-0.06622498,0.13554451,10.524195,-0.090478815,1.3832091,-0.008691085,-0.04335725,-0.06524492,-0.10055836,0.20131817,-0.014604681,-0.113898,-0.08942194,-0.08676733,-0.0817426,-0.05188122,-0.087689556,-0.08151408,0.67578745,-0.0608002,-0.082433365,-0.07517351,-0.100711785
SLPI,-0.08662518,-0.07205082,-0.11551113,-0.060321674,1.5334733,-0.06527289,0.58680487,0.03408604,-0.058418557,-0.095558636,-0.1013289,-0.040430952,-0.061900225,0.48016968,1.1732389,-0.08895442,9.88454,1.934196,-0.042025756,0.007332333,-0.077655606,1.054595,2.9138913,-0.10741957,-0.08379596,-0.09085343,-0.08042596,0.008209592,2.42881,-0.05099234,0.35482696,-0.051290356,-0.07868649,-0.017012097,1.2563262
RP11-51O6.1,0.003868022,0.0002313941,0.04462583,0.033050206,0.04333036,0.24801025,9.971362,0.02373286,0.10904307,0.033737704,0.024676647,0.03675986,0.039961386,0.07917489,0.033978943,0.018201193,-0.027262967,0.03902606,0.0066407355,0.027808366,0.103193596,0.028186787,-0.0015810094,3.9782808,0.108394064,0.078553945,0.016802607,-0.004678523,0.004668529,0.034271903,0.037616592,-0.016245415,0.044460706,0.010537027,0.20358734
HSPB1,0.95681447,0.66065764,0.9284852,5.0000005,1.7029026,0.5345294,1.9638458,3.3139317,1.133633,1.1124609,2.448558,0.35418525,5.4489355,0.20285949,3.1806686,1.6639931,8.409069,0.22132392,1.0476686,0.4092735,0.095126174,0.37892133,3.249846,0.9510553,0.9671272,1.6326807,2.2965586,0.9146702,1.7957059,1.4995303,2.4611297,4.180188,2.3931322,-0.06592292,3.415481
RP11-761N21.2,1.3339301,1.0103798,1.4538393,0.5513811,1.2942538,2.1047437,0.0577089,0.7327191,1.3220282,0.28288853,1.8460674,0.727256,1.6790231,2.6217785,1.1702955,0.49172124,0.5200155,0.8055569,0.97772455,0.96873134,3.144963,1.5157259,1.2047884,0.049347684,1.84925,1.8937751,1.4161807,0.70296276,1.155372,0.86722225,1.4008687,0.5937693,1.7418579,0.9527916,10.981356
CHCHD2,6.2575073,3.5346565,8.331615,4.1711698,3.9679186,3.2609186,5.23268,1.3780886,4.334403,3.9193685,5.6854596,4.7199874,3.182109,4.2820063,4.862067,5.8703876,4.9284644,3.4776165,2.4531605,1.4124655,6.675288,3.8640268,3.0873046,6.2699986,5.6172776,5.398931,4.418726,3.100621,2.066874,8.831748,3.4727337,5.0855107,5.4022927,3.544445,8.17477
P4HB,4.086713,2.4842439,3.7838962,2.9616082,8.903255,2.9992886,2.8697195,1.8511027,3.2178028,5.966627,7.7243657,2.8676646,2.6761653,1.519353,1.712559,3.7406886,4.1377554,3.387461,0.8458577,3.1601546,4.3609424,4.510018,2.480972,3.2213564,1.3849944,4.078579,7.0695558,4.539145,5.16802,2.4575636,2.8446145,4.0760703,5.7347984,3.8406513,3.791702
SLC39A6,1.7025139,0.22735283,0.48282257,0.4208436,0.23764427,0.121726245,0.44806376,0.089548655,0.04671057,0.9835574,0.8038612,0.09865093,2.8150003,0.11649298,0.12086131,0.27134225,0.2441889,0.20000519,0.1282089,0.1584326,0.28788784,0.028580952,0.0804699,0.24303001,0.29048562,0.28683838,1.370983,0.25369608,0.5689797,0.026852159,0.1935153,0.19363889,0.32666963,1.7448338,10.15142
