,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
HCFC1,0.15106393,0.30269745,0.3940802,0.06781513,0.0690909,0.23573402,0.051826004,0.040475536,0.20566401,0.12953162,0.18146582,0.090393,0.09391095,0.3087088,0.08790859,0.10810515,0.034960415,0.10980593,0.08321977,0.24800165,0.05659229,0.020538501,0.07700822,0.07812281,0.117934495,0.056146048,0.23516,0.22770444,0.28311893,0.070789665,0.03485316,0.23023254,0.053554744,0.05030746,0.1988905
DEPDC1B,0.07165827,0.04561891,0.18092531,0.07316405,0.086872354,0.05121207,0.000575035,0.013043532,0.2554096,0.044070464,0.03191152,0.021913562,0.10963437,-0.021798942,0.11752576,0.13959175,0.011635426,0.035213746,0.09766595,0.21371247,0.020349924,0.02053935,0.16200466,-0.048955966,0.036846124,-0.001001474,0.09706008,0.23328039,0.25850046,0.052146845,0.0588652,0.25947455,0.10028889,0.044027526,0.37707394
CRYZ,0.03119352,0.12715851,0.13220513,0.17904282,0.033723544,0.028300622,-0.029646663,0.033414714,0.10280982,-0.036073394,0.24543639,-0.011501151,0.06544528,0.13033411,0.118002474,0.074122705,0.010492528,0.12262357,0.012771044,0.098794214,0.11728332,0.067365855,0.15043423,0.09254942,0.06383735,0.09150882,0.08995439,0.11019535,0.2222894,0.062731765,-0.025395313,-0.047406692,0.078709096,0.46522507,0.19260015
SMIM20,0.08515097,0.11273982,0.2649318,0.08647475,0.022714697,0.104119584,0.029500516,0.027720228,0.1878293,0.09940534,0.21009548,0.044111777,0.14123991,0.13204181,0.12122062,0.043828953,0.12904759,0.037653964,0.13139147,0.1353609,0.19355273,0.06433838,0.08341746,0.1557093,0.05429088,0.11627192,0.21387072,0.15165862,0.14102839,0.011846425,0.18371391,0.03185927,0.22330834,0.2156935,0.5267121
POLR3H,0.12804079,0.1781878,0.16941264,0.061719608,0.092623316,0.06945357,0.05773589,0.07270376,0.4072093,0.31662792,0.07270292,0.029143361,0.11438316,0.019607795,0.06215071,0.2510421,0.016305327,0.058512416,0.123656064,0.033161987,0.025854595,0.08312907,0.243496,0.16411023,0.21336994,0.025827076,0.18381493,0.21928576,0.044680245,0.048503388,0.2959248,0.18522535,0.07679045,0.13251743,0.0534193
CCDC64B,-0.09365358,-0.07790375,-0.11812025,-0.060325515,-0.030671401,-0.07062793,0.013524806,-0.06333594,-0.06673639,-0.10258895,0.024512146,0.11187025,-0.003260925,-0.07577552,-0.09272117,-0.025903683,0.009301364,-0.045302767,-0.067208335,-0.09354283,-0.015422229,-0.013255195,-0.089156,-0.092967734,-0.082232654,-0.052457757,-0.10246808,-0.08105529,0.0904623,0.098416485,-0.08270975,-0.058388494,0.405402,-0.03557467,-0.11559192
CCBE1,-0.093914114,-0.07800132,-0.11197457,-0.06128665,-0.07334542,-0.07058101,-0.045848023,0.21742989,-0.09835734,-0.1011425,-0.075899675,-0.06723431,-0.067979515,-0.05851388,0.09346232,-0.07052546,-0.061447766,-0.040632002,-0.067337714,0.36442226,-0.06362994,-0.04628371,-0.089352645,0.0642849,-0.0824883,-0.049207367,0.039545245,-0.08201865,-0.08362985,-0.06076117,-0.082093015,-0.075370714,-0.100423835,-0.09455398,-0.115760036
OCA2,-0.090892,-0.05872484,-0.109078005,-0.061454684,-0.07172282,-0.06532696,-0.045905083,-0.06329105,-0.09887078,-0.10287946,-0.075975224,-0.06722382,-0.06828687,-0.0735864,-0.0929634,-0.0807135,-0.049674194,-0.042035796,-0.06510362,-0.10146623,-0.06618111,-0.044935677,-0.089421935,-0.09324461,0.48087052,-0.052590683,-0.07130526,-0.08119699,-0.07457674,-0.06075126,-0.08294994,-0.07502875,-0.100928046,-0.09462954,-0.1141353
ZC3H18,0.21014738,0.32701266,0.42383513,0.08885135,0.047409974,0.22832079,0.1097104,0.13789278,0.19760251,0.200132,0.17372927,0.27578393,0.11950262,0.28776893,0.07244417,0.18146086,0.039819784,0.075568855,0.108744465,0.15741895,0.09818545,0.019963162,0.15355523,0.11236072,0.09774187,0.03341929,0.21598063,0.22082396,0.19802734,0.20108159,0.11203305,0.018460205,0.04318644,0.086147554,0.31907138
FABP7,-0.022303248,-0.078006886,-0.07283845,-0.061419316,-0.077431135,-0.07085896,-0.046003126,-0.063410856,-0.099035434,0.001518108,-0.07584691,-0.06721198,-0.06802338,-0.07604908,-0.0922627,-0.08029098,-0.061496112,-0.045662187,-0.067354105,-0.101570755,-0.06611837,-0.046380784,-0.089208215,-0.09305955,-0.08306401,-0.05263384,-0.10272733,-0.08228636,-0.08381178,-0.060679764,0.47845444,-0.07523282,-0.10087508,-0.09445447,-0.11558289
