,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
63,-0.02963947,-0.44483677,-0.10193816,-0.42322907,-0.38516313,-0.9372049,-0.31938758,0.2760273,0.025347568,-0.5839715,-0.2652194,-0.6553371,0.39542702
64,-0.89368314,-0.4522056,-0.5496488,-0.49197507,-0.93966305,-0.5749122,-0.4507582,-0.16420609,-0.7649966,-1.1380372,-0.15193833,-0.23421606,-0.14488299
65,0.72991514,-0.0256792,0.592387,-0.41090217,1.6567147,0.5303975,1.6508794,0.20593646,0.63242346,-0.15930541,0.7035639,-0.20869356,-0.36004597
66,-0.30141136,0.46543294,0.52444917,0.040925086,-0.5445251,-0.026577225,0.030642064,0.061187103,-0.3314527,-0.30576226,0.0827326,-0.33120152,0.5742846
67,-0.31447247,-1.8665913,-0.5693508,-0.20423743,-0.4294777,-0.05422437,-0.9269036,0.39967066,-0.47634912,-1.2733186,-1.7423022,0.8431974,-0.10350549
68,0.5289748,0.40474832,-5.3589716,0.7283853,0.82155603,0.87598675,0.07735162,-0.10461576,0.79851025,0.29124057,0.3510067,0.9124727,2.998205
69,3.2014816,2.6370766,3.2215831,3.9997475,3.224768,2.8573654,4.257856,2.877788,4.246243,2.1851807,4.7414465,3.5923338,4.706695
70,0.19239962,0.062313527,1.5367237,0.46288344,0.15683782,-0.020241413,-0.37251967,0.45479828,0.12843592,0.667676,0.19511025,0.22810552,2.357521
71,-0.24364099,0.114328936,0.10934868,-0.119798355,0.304553,-0.39641532,-0.34507784,0.022965292,-0.4013237,-0.77336556,-0.6460694,-0.028577743,-0.3493679
72,0.61437446,-0.54193217,0.9932205,1.4111042,-0.2953978,1.0430216,-0.15765579,0.9141951,2.0183892,-0.6680813,-1.3291491,1.1822819,0.48886007
73,0.4485986,1.735476,1.8016815,1.169308,0.8840509,0.91630554,0.46270537,0.9719479,1.6862156,1.8734452,1.4527481,0.90882665,2.6244726
74,-0.022606565,0.07531739,0.3274293,0.22203532,2.01464,-0.42141297,0.21748026,0.15448403,-1.0742615,1.0970474,-0.6455185,-0.8741012,-0.7337782
75,0.10699998,-0.34644094,0.2554151,0.22772464,-1.1101037,-0.70508415,-0.03591903,0.19412342,0.06715561,0.55592173,0.2336712,-0.6881517,-0.18092145
